feature,importance
V258,0.14087743
V294,0.08088551
V218,0.060627617
V70,0.05975578
V201,0.03569991
V142,0.03441437
V187,0.022058526
V91,0.018764038
C8,0.013689395
V30,0.011326487
V243,0.010435282
C14,0.009542767
V308,0.008706626
R_emaildomain,0.007946268
C1,0.006816014
V283,0.0066218474
C4,0.0064346874
C5,0.0061681997
V189,0.006162666
V229,0.006132809
V327,0.0059316154
card6,0.005042328
V336,0.0048930706
V326,0.0047543477
V287,0.0045784833
V140,0.004323472
V232,0.0040701483
C10,0.003928234
V159,0.0038489676
V156,0.0038428206
V230,0.0037840079
C11,0.0033898326
D2,0.003379927
V102,0.0033614845
V162,0.0032107108
V163,0.0032040956
card3,0.0030662252
DeviceInfo,0.0028777043
V286,0.00285405
ProductCD,0.002837077
V149,0.0028244434
V172,0.0027285838
id_31,0.002709758
C13,0.0026659223
V312,0.0026353255
V317,0.0026343297
V97,0.0026051013
V320,0.002602199
V141,0.002496112
C6,0.0024026462
V133,0.002349411
id_36,0.0023122765
C2,0.0022935984
V244,0.0022858751
V45,0.0022829778
V311,0.002277991
D3,0.0022762083
V179,0.0022359306
V150,0.0022226116
V143,0.0022113677
V177,0.002157927
M4,0.0021425297
V296,0.00207143
V74,0.002062355
V152,0.002051309
id_17,0.002036722
V62,0.00201252
id_33,0.0020100542
V54,0.0020067776
V66,0.0019979242
V64,0.0019601202
V93,0.0019530874
V224,0.0019444573
V115,0.0019443338
V79,0.001936052
M3,0.0018745599
V225,0.001827343
V231,0.0018256982
V48,0.0018202885
V53,0.0018168184
V49,0.0018000518
P_emaildomain,0.0017863478
V61,0.0017740648
V315,0.0017561545
M5,0.0017538717
V131,0.0017422024
C9,0.0017406956
M6,0.0017176188
V82,0.0017142909
V335,0.0017091429
V223,0.0016988418
id_03,0.0016974999
V226,0.0016928103
id_09,0.0016520194
V16,0.0016416449
V217,0.0016415262
V193,0.00163713
V165,0.0016338525
V83,0.0016321369
V309,0.0016303554
V298,0.0015954825
V293,0.0015883554
TransactionAmt,0.0015796634
addr2,0.0015789772
V67,0.0015720172
V94,0.0015599855
id_01,0.001549441
V34,0.0015401879
id_30,0.0015322083
V272,0.0015047397
V281,0.0014991853
D1,0.0014979546
V192,0.0014920424
V50,0.0014751316
V129,0.0014724891
V87,0.0014616409
V161,0.0014427563
V266,0.0014354283
V324,0.001420756
V285,0.0014179674
V20,0.0014159152
V148,0.0014001617
D15,0.0013939359
V72,0.0013931906
V136,0.0013678796
V42,0.0013668366
V56,0.0013618818
V128,0.0013471652
id_25,0.0013351422
V175,0.0013303106
id_12,0.0013249493
V55,0.0013240434
V256,0.0013102817
V254,0.0013090663
D12,0.0013076584
V38,0.0013063477
V15,0.0012906784
D10,0.001285395
card2,0.0012845307
V164,0.0012844644
V59,0.0012800801
V2,0.0012722908
V173,0.0012689515
card5,0.00126653
V339,0.0012642945
V205,0.0012620989
V190,0.0012554415
V313,0.0012483514
id_08,0.0012427926
V333,0.001241273
V33,0.0012407586
addr1,0.0012392824
id_04,0.0012386348
V219,0.0012343107
D6,0.0012222804
D4,0.0012197966
V310,0.0012155045
V300,0.0012143058
V47,0.0012139397
V37,0.0012050929
V125,0.0012043093
card1,0.0012019165
V71,0.0011793204
V35,0.001178715
V51,0.001178468
V268,0.0011729508
V169,0.001172897
V109,0.0011717482
V17,0.0011678911
C12,0.001150822
V85,0.0011504965
V124,0.0011339426
V75,0.0011325829
V19,0.0011325249
V166,0.0011317221
M2,0.00112027
V151,0.0011170537
D13,0.0011169289
V196,0.0011167857
V24,0.0011097905
V314,0.0011034365
V178,0.0010986979
V7,0.00109764
V96,0.0010971276
V78,0.0010894903
V99,0.0010894735
V76,0.0010851856
V180,0.0010825126
V322,0.0010739842
dist1,0.0010733097
V9,0.0010651865
V248,0.001063715
D8,0.0010621841
V289,0.0010532703
V29,0.0010496478
V328,0.0010475866
V282,0.0010428921
V270,0.0010296764
V11,0.0010291128
V13,0.0010133248
V36,0.0010130276
V330,0.0010118786
D11,0.001007122
V86,0.0009974162
V5,0.0009950324
V106,0.0009938825
id_15,0.0009935406
D5,0.0009834126
V145,0.0009758163
V170,0.0009742112
V307,0.0009725076
V44,0.00096597103
V26,0.0009581143
card4,0.00094929646
V12,0.0009441733
V306,0.00093497074
V271,0.0009347685
V279,0.0009320883
V18,0.000931365
V52,0.0009289872
V334,0.0009286785
M9,0.0009238484
C3,0.00091801264
V160,0.0009178676
V23,0.000915021
V318,0.00091486506
V276,0.00089179905
V69,0.000885828
V210,0.00088340096
V257,0.0008742855
V77,0.0008732986
V255,0.0008725953
V139,0.0008680389
V338,0.0008672868
V323,0.00086226384
V146,0.0008536807
V81,0.0008488956
V221,0.00084699685
V220,0.00084447087
id_05,0.0008430999
V246,0.0008407151
V58,0.0008399137
V321,0.0008392037
id_20,0.0008369566
V60,0.0008359793
V301,0.00082725275
D14,0.00082710624
V105,0.000825548
V329,0.0008161551
V291,0.0008157571
V303,0.00081513816
V130,0.0008146768
V234,0.00080911705
V206,0.0008086682
V251,0.0008023634
M8,0.0007981278
V6,0.00079281494
V90,0.0007886942
V167,0.00078566343
id_21,0.00078439433
id_14,0.0007792229
V22,0.0007706367
V21,0.0007694167
V4,0.00076829665
V92,0.000761149
V207,0.0007481565
id_11,0.0007480291
id_02,0.0007437987
D7,0.00073786726
V176,0.00073173206
V280,0.0007276932
id_06,0.0007232025
V332,0.0007212127
id_34,0.00071943016
V295,0.00071067223
C7,0.0007088247
V32,0.0007086962
V263,0.00070695404
V63,0.00070411473
id_32,0.0007023947
id_18,0.0007020449
V316,0.0007014674
V262,0.0006998833
V135,0.0006851058
V215,0.00068425055
V127,0.00068197935
V123,0.00068003894
dist2,0.0006757127
V183,0.0006731104
id_07,0.00066765095
V25,0.0006664839
V274,0.0006606414
V233,0.00065801176
id_13,0.00065763725
id_38,0.00065365713
V265,0.0006480111
V46,0.00063905003
V211,0.0006246275
V297,0.00062035205
V261,0.0006190478
V134,0.0006168299
V239,0.00061526423
V245,0.00061338505
V299,0.00061043154
V259,0.00060846243
V126,0.0006064897
V292,0.000601052
V104,0.0006001016
V337,0.00059688726
V290,0.00059589074
V182,0.0005941203
DeviceType,0.00059216627
id_16,0.00058487954
M7,0.0005829513
id_19,0.0005771511
V208,0.0005770505
V191,0.00057242915
V84,0.0005697572
V249,0.00056942465
V222,0.00056537124
V40,0.00056424097
V209,0.00056423026
V73,0.0005623976
D9,0.0005617977
V288,0.00055781007
V304,0.00055540795
V137,0.0005529805
V319,0.0005521879
V267,0.00055113854
V216,0.0005499024
V95,0.0005444067
V228,0.0005438622
V227,0.00054386037
id_37,0.00054342893
V253,0.0005271562
V203,0.0005224513
V100,0.0005216882
V101,0.00051997096
V168,0.00051152107
V171,0.00051060785
V331,0.0005058023
V3,0.0005043048
V147,0.0005018461
V43,0.0004958868
V132,0.00049064844
V158,0.0004900329
V103,0.00048804656
id_10,0.00048303464
M1,0.00047560284
id_26,0.0004694732
V10,0.0004689858
V39,0.00046330734
V144,0.00046280358
V8,0.0004576991
V260,0.00045625938
V31,0.0004544939
V264,0.00041915552
V57,0.0003748588
V199,0.0003688603
V277,0.00035690973
V235,0.00035478323
V204,0.0003490857
V108,0.00034754156
V200,0.00034367555
V269,0.0003384694
V202,0.0003330177
V157,0.00032893373
V302,0.00032818574
V238,0.0003246809
V278,0.0003200353
V273,0.0003064886
V275,0.00030539714
V214,0.00030175791
V252,0.0002932431
V184,0.00028870604
V237,0.00028160145
V242,0.00027997265
id_35,0.00026430583
V185,0.00025242605
id_28,0.00022218443
V284,0.00021927826
V212,0.00021624473
V213,0.00020215397
V98,0.00019047009
V181,0.0001879419
V325,0.00017690304
id_29,0.00012887952
V80,0.00010511516
V138,7.6593904e-05
V153,6.06626e-05
V247,5.2868516e-05
V236,0.0
V41,0.0
id_22,0.0
id_24,0.0
id_23,0.0
id_27,0.0
V241,0.0
V250,0.0
V195,0.0
V194,0.0
V188,0.0
V186,0.0
V174,0.0
V240,0.0
V89,0.0
V197,0.0
V198,0.0
V88,0.0
V65,0.0
V68,0.0
V154,0.0
V305,0.0
V155,0.0
V107,0.0
V122,0.0
V121,0.0
V120,0.0
V119,0.0
V118,0.0
V117,0.0
V116,0.0
V114,0.0
V113,0.0
V112,0.0
V111,0.0
V110,0.0
V1,0.0
V14,0.0
V27,0.0
V28,0.0
